BẢNG ĐẶC TRƯNG VẬT LIỆU & CHỈ TIÊU ĐIỆN HÓA – CƠ SỞ SO SÁNH & ĐỊNH LƯỢNG
A. ĐẶC TRƯNG VẬT LIỆU (Material Characterization)
Thông số,Định nghĩa / Công thức,Giá trị kỳ vọng tốt,Phương pháp đo,Điều kiện cụ thể,Mẫu so sánh,Sai lầm thường gặp,Yêu cầu báo cáo Q1,Ưu tiên
LOD (Limit of Detection),"LOD = 3σ/S (σ: noise SD, S: độ nhạy)",Pb²⁺: <0.05 ppb; DA: <10 nM,DPV/ASV,"Đường chuẩn 10 nồng độ, mỗi nồng độ 3 lần","GCE bare, CA/GCE không doping",Dùng sai công thức (không tính σ từ blank); LOD quá thấp bất hợp lý,Phải báo cáo theo IUPAC; kèm đường chuẩn,★★★
LOQ (Limit of Quantification),LOQ = 10σ/S,LOQ = 3.3 × LOD,DPV,Như trên,—,Thường bị bỏ qua → reviewer yêu cầu,Cần kèm LOD,★★
Sensitivity (độ nhạy),Độ dốc đường chuẩn (µA/nM hoặc µA/ppb·cm²),DA: >1 µA/nM·cm²; Pb²⁺: >100 µA/ppb·cm²,DPV,Chuẩn bị fresh mỗi ngày,GCE bare,Không chuẩn hóa theo diện tích điện cực → so sánh không công bằng,Normalize theo electrode area,★★★
Linear Range (khoảng tuyến tính),Khoảng nồng độ có R² >0.99,DA: 0.01–100 µM; Pb: 0.01–10 ppb,DPV,Pha loãng serial,—,Chỉ báo cáo 1 range hẹp để có R² cao,Cần ít nhất 2 linear ranges (low & high),★★★
Selectivity (tính chọn lọc),Peak current thay đổi <10% khi thêm interferent,"DA: chịu AA, UA, glucose 10× excess; Pb: chịu Cu²⁺, Zn²⁺",DPV,"Thêm từng interferent riêng, 10 mM vs 1 mM analyte",—,Chỉ test 1–2 interferent → không đủ,≥10 interferents là tiêu chuẩn Q1,★★★
Repeatability (RSD),%RSD của 5 lần đo liên tiếp,RSD <3%,DPV/CV,"Cùng điện cực, cùng ngày, n=5",—,Nhầm repeatability vs reproducibility,Cần cả repeatability + reproducibility,★★
Reproducibility,RSD giữa 5 điện cực chế tạo độc lập,RSD <5%,DPV,5 GCE khác nhau,—,Chỉ test 1 điện cực → reviewer từ chối,Cần n=5 independent electrodes,★★★
Stability,% thay đổi peak sau bảo quản 30 ngày,">90% còn lại sau 30 ngày, 4°C",DPV,"Đo ngày 1, 7, 14, 21, 30",—,Không đo đủ time points,Cần ít nhất 4 time points,★★
Real sample recovery,"% recovery trong mẫu thực (nước sông, nước tiểu)",Recovery 95–105%,DPV/Standard addition,Spike 3 nồng độ vào mẫu thực,HPLC/ICP hoặc certified reference material,Không dùng standard addition method,Bắt buộc cho Q1; ≥3 mẫu thực,★★★
EIS (Rct),Điện trở chuyển điện tích (charge transfer resistance),Rct giảm mạnh sau khi modify GCE,EIS,Freq: 0.01–100kHz; AC amp 5mV; DC = E°,"GCE bare, CA/GCE",Không dùng Randles circuit phù hợp,Phải giải thích Rct và fit model,★★
