Para | Đề tài nghiên cứu tổng hợp carbon aerogel pha tạp ... | Đề tài nghiên cứu tổng hợp carbon aerogel pha tạp ...
Para | Gia cường vật liệu composite xanh (Green Composite... | Gia cường vật liệu composite xanh (Green Composite...
Para | Vật liệu cách âm và cách nhiệt sinh học: Do sở hữu... | Vật liệu cách âm và cách nhiệt sinh học: Do sở hữu...
Para | Chất hấp phụ sinh học (Biosorbents): Hàm lượng cel... | Chất hấp phụ sinh học (Biosorbents): Hàm lượng cel...
Para | Tiền đề về cellulose aerogel dẫn điện từ sinh khối... | Tiền đề về cellulose aerogel dẫn điện từ sinh khối...
Para | Đông tụ trong cồn bằng non-solvent: Khi hydrogel r... | Đông tụ trong cồn bằng non-solvent: Khi hydrogel r...
Para | Sấy thăng hoa loại bỏ áp suất mao quản (Pc): Quá t... | Sấy thăng hoa loại bỏ áp suất mao quản (Pc): Quá t...
Para | Trong tổng hợp carbon aerogel từ xơ dừa, các nghiê... | Trong tổng hợp carbon aerogel từ xơ dừa, các nghiê...
Para | Carbon aerogel hữu cơ đã được chứng minh là vật li... | Carbon aerogel hữu cơ đã được chứng minh là vật li...
Para | Hòa tan cellulose trong hệ NH4OH:Urea:H2O ở nhiệt ... | Hòa tan cellulose trong hệ NH4OH:Urea:H2O ở nhiệt ...
Para | Lignin còn sót lại sau kiềm hóa (12–16 wt%) chủ yế... | Lignin còn sót lại sau kiềm hóa (12–16 wt%) chủ yế...
Para | Quá trình nung trong khí trơ N2 xảy ra qua 3 ramps... | Quá trình nung trong khí trơ N2 xảy ra qua 3 ramps...
Para | Giai đoạn 5 (Nhiệt phân carbon hóa lần 1): Đặt aer... | Giai đoạn 5 (Nhiệt phân carbon hóa lần 1): Đặt aer...
Para | Ở 600°C, cấu trúc carbon hóa chưa hoàn toàn, giữ đ... | Ở 600°C, cấu trúc carbon hóa chưa hoàn toàn, giữ đ...
Para | Bảng 1.1. Ảnh hưởng nhiệt độ nung đến SBET và cấu ... | Bảng 1.1. Ảnh hưởng nhiệt độ nung đến SBET và cấu ...
Para | Để hình thành các tâm xúc tác Fe-Nx hiệu suất cao,... | Để hình thành các tâm xúc tác Fe-Nx hiệu suất cao,...
Para | Do đó, sắt (Fe³⁺) được hòa tan trong dung môi cồn ... | Do đó, sắt (Fe³⁺) được hòa tan trong dung môi cồn ...
Para | Bên cạnh khả năng chelate hóa các cation kim loại ... | Bên cạnh khả năng chelate hóa các cation kim loại ...
Para | Hệ dung môi NH4OH-Urea trương nở cellulose thông q... | Hệ dung môi NH4OH-Urea trương nở cellulose thông q...
Para | Theo Jacob N. Israelachvili [18], tương tác kỵ nướ... | Theo Jacob N. Israelachvili [38], tương tác kỵ nướ...
Para | Đặc biệt, công trình của Fauziyah và cộng sự (2019... | Đặc biệt, công trình của Fauziyah và cộng sự (2019...
Para | Luận điểm khoa học cốt lõi của đề tài là lựa chọn ... | Luận điểm khoa học cốt lõi của đề tài là lựa chọn ...
Para | Kể từ khi Wang và cộng sự (2000) giới thiệu, Bismu... | Kể từ khi Wang và cộng sự (2000) giới thiệu, Bismu...
Para | Tâm hoạt tính Fe-Nx candidate sites và Pyridinic-N... | Tâm hoạt tính Fe-Nx candidate sites và Pyridinic-N...
Para | Hiệu năng cảm biến của đề tài đề xuất (N-CA và Fe/... | Hiệu năng cảm biến của đề tài đề xuất (N-CA và Fe/...
Para | Bảng 2.1: Tóm tắt thông số SOP và Biện luận cơ chế... | Bảng 2.1: Tóm tắt thông số SOP và Biện luận cơ chế...
Para | Giai đoạn 0 (Tiền xử lý kiềm hóa tách lignin): Ngh... | Giai đoạn 0 (Tiền xử lý kiềm hóa tách lignin): Ngh...
Para | Giai đoạn 1 (Sol-gel NH3-Urea-H2O): Phối trộn hệ s... | Giai đoạn 1 (Sol-gel NH3-Urea-H2O): Phối trộn hệ s...
Para | Giai đoạn 2 (Đúc khuôn & Gel hóa lạnh): Gõ nhẹ đáy... | Giai đoạn 2 (Đúc khuôn & Gel hóa lạnh): Gõ nhẹ đáy...
Para | Giai đoạn 3 (Keo tụ & Trao đổi dung môi): Dựa trên... | Giai đoạn 3 (Keo tụ & Trao đổi dung môi): Dựa trên...
Para | Giai đoạn 4 (Sấy thăng hoa): Cấp đông sâu gel ở −5... | Giai đoạn 4 (Sấy thăng hoa): Cấp đông sâu gel ở −5...
Para | Giai đoạn 5 (Nhiệt phân carbon hóa lần 1): Đặt aer... | Giai đoạn 5 (Nhiệt phân carbon hóa lần 1): Đặt aer...
Para | Giai đoạn 6 (Doping Fe - Post-impregnation): Hòa t... | Giai đoạn 6 (Doping Fe - Post-impregnation): Hòa t...
Para | Giai đoạn 7 (Rửa acid & Khảo sát nung Annealing lầ... | Giai đoạn 7 (Rửa acid & Khảo sát nung Annealing lầ...
Para | Hình 2.1. Sơ đồ quy trình thực nghiệm tổng hợp Cel... | Hình 2.1. Sơ đồ quy trình thực nghiệm tổng hợp Cel...
Para | Hình 2.2. Sơ đồ quy trình chuyển hóa Cellulose Aer... | Hình 2.2. Sơ đồ quy trình chuyển hóa Cellulose Aer...
Para | Liên kết hydro liên phân tử (Inter-chain H-bonds):... | Liên kết hydro liên phân tử (Inter-chain H-bonds):...
Para | Hệ dung môi NH4OH/Urea hòa tan cellulose thông qua... | Hệ dung môi NH4OH/Urea hòa tan cellulose thông qua...
Para | Quá trình hòa tan cellulose trong hệ NH4OH/Urea là... | Quá trình hòa tan cellulose trong hệ NH4OH/Urea là...
Para | Thực nghiệm chứng minh sol ổn định hơn và ít tách ... | Thực nghiệm chứng minh sol ổn định hơn và ít tách ...
Para | Quá trình chuyển đổi từ sol lỏng sang hydrogel tổ ... | Quá trình chuyển đổi từ sol lỏng sang hydrogel tổ ...
Para | Khi đặt hệ sol vào ngăn đông ở -14°C đến -20°C, nư... | Khi đặt hệ sol vào ngăn đông ở -14°C đến -20°C, nư...
Para | Dưới lực ép cơ học của tinh thể đá đang phát triển... | Dưới lực ép cơ học của tinh thể đá đang phát triển...
Para | Ethanol hoạt động như một chất không-dung-môi (non... | Ethanol hoạt động như một chất không-dung-môi (non...
Para | Để quá trình keo tụ xảy ra ổn định mà không làm nh... | Để quá trình keo tụ xảy ra ổn định mà không làm nh...
Para | Để quá trình keo tụ (regeneration/coagulation) xảy... | Để quá trình keo tụ (regeneration/coagulation) xảy...
Para | Trong đó: γ là sức căng bề mặt của dung môi (γ_nướ... | Trong đó: γ là sức căng bề mặt của dung môi (γ_nướ...
Para | Sấy thăng hoa đóng băng dung môi (nước) thành đá r... | Sấy thăng hoa đóng băng dung môi (nước) thành đá r...
Para | Ethanol có nhiệt độ đông đặc cực thấp (-114°C). Th... | Ethanol có nhiệt độ đông đặc cực thấp (-114°C). Th...
Para | Đối với hệ vật liệu Fe/N-CA, quy trình tẩm sắt và ... | Đối với hệ vật liệu Fe/N-CA, quy trình tẩm sắt và ...
Para | Xơ dừa Bến Tre có thành phần lignin tự nhiên chủ y... | Xơ dừa Bến Tre có thành phần lignin tự nhiên chủ y...
Para | Khi đun nóng pha rắn trong lò nung, Urea nóng chảy... | Khi đun nóng pha rắn trong lò nung, Urea nóng chảy...
Para | Các liên kết cộng hóa trị này khóa chặt urea tự do... | Các liên kết cộng hóa trị này khóa chặt urea tự do...
Para | Phân nhánh nhiệt độ Ttarget: N-CA (700°C) giữ lại ... | Phân nhánh nhiệt độ Ttarget: N-CA (700°C) giữ lại ...
Para | Khi ngâm bột carbon nền vào dung dịch FeCl3 trong ... | Khi ngâm bột carbon nền vào dung dịch FeCl3 trong ...
Para | Trong quá trình nung lại (Re-annealing) ở 800°C, i... | Trong quá trình nung lại (Re-annealing) ở 800°C, i...
Para | Phần lớn Fe tự do/oxide dễ hòa tan được loại bỏ ho... | Phần lớn Fe tự do/oxide dễ hòa tan được loại bỏ ho...
Para | Sau khi rửa axit mạnh HCl, bề mặt carbon xuất hiện... | Sau khi rửa axit mạnh HCl, bề mặt carbon xuất hiện...
Para | Khi khảo sát thử nghiệm các hợp chất hữu cơ (như P... | Khi khảo sát thử nghiệm các hợp chất hữu cơ (như P...
Para | Đáng chú ý, ngoài khả năng kết dính cơ học, polyme... | Đáng chú ý, ngoài khả năng kết dính cơ học, polyme...
Para | Drop-casting: Dùng micropipette nhỏ chính xác 7.0 ... | Drop-casting: Dùng micropipette nhỏ chính xác 7.0 ...
Para | Ngoài ra, điện cực bare GCE trước biến tính bắt bu... | Ngoài ra, điện cực bare GCE trước biến tính bắt bu...
Para | Kế hoạch thẩm định phương pháp được thiết kế chi t... | Kế hoạch thẩm định phương pháp được thiết kế chi t...
Para | Tính đặc hiệu (Selectivity): Phân tích mẫu trắng n... | Tính đặc hiệu (Selectivity): Phân tích mẫu trắng n...
Para | Giới hạn LOD / LOQ: Xác định giới hạn phát hiện và... | Giới hạn LOD / LOQ: Xác định giới hạn phát hiện và...
Para | Độ chụm (Precision): Độ lặp lại (Repeatability) RS... | Độ chụm (Precision): Độ lặp lại (Repeatability) RS...
Para | Độ đúng (Trueness): Đánh giá qua hiệu suất thu hồi... | Độ đúng (Trueness): Đánh giá qua hiệu suất thu hồi...
Para | Độ xanh phân tích: Đánh giá điểm số sinh thái thôn... | Độ xanh phân tích: Đánh giá điểm số sinh thái thôn...
Para | Về cấu trúc vật liệu: Tỷ lệ cường độ ID/IG đo từ p... | Về cấu trúc vật liệu: Tỷ lệ cường độ ID/IG đo từ p...
Para | Quét thế tuần hoàn (Cyclic Voltammetry - CV) trong... | Quét thế tuần hoàn (Cyclic Voltammetry - CV) trong...
Para | Động học phản ứng tuân theo phương trình dòng đỉnh... | Động học phản ứng tuân theo phương trình dòng đỉnh...
Para | Chứng minh tâm hoạt tính sắt Fe-Nx thúc đẩy động h... | Chứng minh tâm hoạt tính sắt Fe-Nx thúc đẩy động h...
Para | Giai đoạn hòa tan (Stripping Step) [11]:... | Giai đoạn hòa tan (Stripping Step) [58]:...
Para | (2) Mạng lưới graphite sp² đủ nguyên vẹn để dẫn đi... | (2) Mạng lưới graphite sp² đủ nguyên vẹn để dẫn đi...
Para | Phân tích N 1s: Giải phổ (deconvolution) xác định ... | Phân tích N 1s: Giải phổ (deconvolution) xác định ...
Para | Phân tích Fe 2p: Đỉnh Fe 2p3/2 ở 710.8 - 711.5 eV ... | Phân tích Fe 2p: Đỉnh Fe 2p3/2 ở 710.8 - 711.5 eV ...
Para | Isotherm hấp phụ-khử hấp phụ N2 của Carbon Aerogel... | Isotherm hấp phụ-khử hấp phụ N2 của Carbon Aerogel...
Para | Chitosan (Ứng dụng cho SWASV đo kim loại nặng): Ch... | Chitosan (Ứng dụng cho SWASV đo kim loại nặng): Ch...
Para | "Nafion (Ứng dụng đo Paracetamol và chống nhiễu hữ... | "Nafion (Ứng dụng đo Paracetamol và chống nhiễu hữ...
Para | Việc đặt mục tiêu LOD < 0.1 ppb cho Pb²⁺ là hoàn t... | Việc đặt mục tiêu LOD < 0.1 ppb cho Pb²⁺ là hoàn t...
Para | (2) Các tâm xúc tác Fe-N4 trên vách carbon đóng va... | (2) Các tâm xúc tác Fe-N4 trên vách carbon đóng va...
Para | Để kiểm soát sai số phép đo điện hóa và đánh giá đ... | Để kiểm soát sai số phép đo điện hóa và đánh giá đ...
Para | Con người (Human/Man): Thao tác mài bóng cơ học bề... | Con người (Human/Man): Thao tác mài bóng cơ học bề...
Para | Tháng 6, thẩm định phương pháp theo tiêu chuẩn [19... | Tháng 6, thẩm định phương pháp theo tiêu chuẩn [1,...
Para | (1) Thu hồi alkali lignin từ dòng thải kiềm hóa ở ... | (1) Thu hồi alkali lignin từ dòng thải kiềm hóa ở ...
Para | (2) Ngoài ứng dụng cảm biến điện hóa, vật liệu car... | (2) Ngoài ứng dụng cảm biến điện hóa, vật liệu car...
Table | [9]... | [21]...
Table | [64]... | [41]...
Table | [61]... | [42]...
Table | [62]... | [43]...
Table | [63]... | [44]...
Table | [58]... | [35]...
Table | [59]... | [36]...
Table | [52]... | [34]...
[2026-06-30] AUTHORITATIVE FILE: DCLV_CA_29.06 Fe-N CA_Reordered_V2.docx
2026-06-30 23:46 | FILE: DCLV_CA_29.06 Fe-N CA_Reordered_V2.docx | SCRIPT: renumber_v2.py | TASK: Renumbering 64 citations sequentially (non-grouped) | RESULT: SUCCESS | VERIFIED: YES
2026-07-01 00:33 | FILE: DCLV_CA_29.06 Fe-N CA_Reordered_V2.docx & .md | SCRIPT: inline python | TASK: Fixed citation [19] month from Nov. 2022 to Sep. 2022 | RESULT: SUCCESS | VERIFIED: YES2026-07-01 01:11 | FILE: DCLV_CA_01.07 Fe-N CA.docx | SCRIPT: update_docx2.py | TASK: C?p nh?t van b?n v� B?ng 1.5 cho TLTK [34], [36], [65] | RESULT: SUCCESS | VERIFIED: YES
2026-07-01 13:22 | FILE: DCLV_CA_01.07 Fe-N CA.docx | SCRIPT: update_docx3.py | TASK: Lo?i b? El Hamdouni t?i v? tr� [62], thay th? b?ng Z. Guo (2017) v� dua v�o B?ng 1.5 | RESULT: SUCCESS | VERIFIED: YES
2026-07-01 14:05 | FILE: DCLV_CA_01.07 Fe-N CA.md & .docx | SCRIPT: manual revert | TASK: Ho�n t�c s?a d?i Z. Guo 2017 theo y�u c?u ngu?i d�ng | RESULT: SUCCESS | VERIFIED: YES
2026-07-01 14:35 | FILE: DCLV_CA_01.07 Fe-N CA.md & .docx | SCRIPT: update_docx_66.py | TASK: B? sung Z. Guo (2017) v�o v? tr� [66], b?ng 1.5 v� gi?i th�ch co ch? | RESULT: SUCCESS | VERIFIED: YES
2026-07-06 12:29 | FILE: DCLV_CA_02.07 Fe-N CA.docx & DCLV_CA_02.07 Fe-N CA_Renumbered.docx | SCRIPT: fix_reference_mismatch.py & execute_renumber_docx.py | TASK: Sua loi trich dan sai bai [42] o Bang 1.5 Dong 2 sang bai Hou et al. 2021 moi, danh so lai toan bo | RESULT: SUCCESS | VERIFIED: YES
[2026-07-06] AUTHORITATIVE FILE: DCLV_CA_02.07 Fe-N CA_Renumbered.docx

[2026-07-11] AUTHORITATIVE FILE: DCLV_CA_11.07 Fe-N CA_Renumbered.docx
2026-07-11 14:10 | FILE: DCLV_CA_11.07 Fe-N CA_Renumbered.docx & .md | SCRIPT: fix_reference_55.py & execute_renumber_docx.py | TASK: Updated [55] L. Alves to correct Z. Chai 2010 citation and renumbered, cleaned up workspace to 11.07 | RESULT: SUCCESS | VERIFIED: YES
2026-07-11 14:30 | FILE: DCLV_CA_11.07 Fe-N CA_Renumbered.docx & .md | SCRIPT: fix_and_append_68_69.py & execute_renumber_docx.py | TASK: Added Xiong 2014 & Cai 2005 references, fixed bracket formatting and successfully renumbered all 69 references linearly | RESULT: SUCCESS | VERIFIED: YES
[2026-07-11] AUTHORITATIVE FILE: De_cuong_Luan_van_Thac_si_Le_Hoang_Nhat.docx
2026-07-11 14:39 | FILE: De_cuong_Luan_van_Thac_si_Le_Hoang_Nhat.docx & .md | SCRIPT: None | TASK: Renamed final files to official advisor-friendly names | RESULT: SUCCESS | VERIFIED: YES
